time,A,B,C
2020-07-11 02:10:00,9.5,17.1,12.1
2020-07-11 02:20:00,9.6,17.0,12.1
2020-07-11 02:30:00,9.7,16.8,12.1
2020-07-11 02:40:00,9.6,16.8,12.0
2020-07-11 02:50:00,9.4,16.8,11.6
2020-07-11 03:00:00,9.3,16.8,11.3
2020-07-11 03:10:00,9.2,16.8,11.0
2020-07-11 03:20:00,9.1,16.6,10.8
2020-07-11 03:30:00,9.0,16.5,10.7
2020-07-11 03:40:00,8.9,16.4,10.8
2020-07-11 03:50:00,9.0,16.2,10.7
2020-07-11 04:00:00,8.8,16.2,10.8
2020-07-11 04:10:00,8.7,16.2,10.8
2020-07-11 04:20:00,8.8,16.1,10.7
2020-07-11 04:30:00,8.9,16.1,10.7
2020-07-11 04:40:00,9.1,16.1,11.0
2020-07-11 04:50:00,10.1,16.1,11.5
2020-07-11 05:00:00,11.0,16.1,11.8
2020-07-11 05:10:00,11.6,16.2,12.3
2020-07-11 05:20:00,11.7,16.2,12.6
2020-07-11 05:30:00,12.2,16.2,13.0
2020-07-11 05:40:00,12.3,16.1,13.4
2020-07-11 05:50:00,12.6,16.1,13.7
2020-07-11 06:00:00,12.7,16.0,14.1
2020-07-11 06:10:00,13.2,15.9,14.4
2020-07-11 06:20:00,13.6,15.8,15.0
2020-07-11 06:30:00,13.7,15.7,15.5
2020-07-11 06:40:00,13.7,15.6,15.6
2020-07-11 06:50:00,13.8,15.5,15.8
2020-07-11 07:00:00,13.7,15.4,16.0
2020-07-11 07:10:00,13.7,15.4,16.5
2020-07-11 07:20:00,13.7,15.5,17.0
2020-07-11 07:30:00,14.2,15.5,16.9
2020-07-11 07:40:00,14.7,15.6,17.6
2020-07-11 07:50:00,15.2,15.7,17.8
2020-07-11 08:00:00,15.1,15.6,18.0
2020-07-11 08:10:00,15.3,15.7,17.9
2020-07-11 08:20:00,14.5,15.6,17.6
2020-07-11 08:30:00,15.1,15.6,19.1
2020-07-11 08:40:00,16.3,15.3,19.3
2020-07-11 08:50:00,15.3,15.4,18.3
2020-07-11 09:00:00,15.4,15.4,18.3
2020-07-11 09:10:00,16.9,15.4,18.5
2020-07-11 09:20:00,17.2,15.5,19.8
2020-07-11 09:30:00,16.4,15.5,19.4
2020-07-11 09:40:00,16.7,15.6,18.8
2020-07-11 09:50:00,15.7,15.5,18.7
2020-07-11 10:00:00,17.4,15.8,19.6
2020-07-11 10:10:00,15.9,16.1,18.6
2020-07-11 10:20:00,16.9,16.0,18.6
2020-07-11 10:30:00,17.5,16.2,19.6
2020-07-11 10:40:00,17.7,16.3,18.9
2020-07-11 10:50:00,18.2,16.0,19.1
2020-07-11 11:00:00,17.5,16.1,20.7
2020-07-11 11:10:00,16.3,16.4,20.6
2020-07-11 11:20:00,14.1,16.4,19.8
2020-07-11 11:30:00,13.0,16.7,19.1
2020-07-11 11:40:00,13.0,17.1,20.0
2020-07-11 11:50:00,13.4,17.3,19.8
2020-07-11 12:00:00,13.9,17.5,21.2
2020-07-11 12:10:00,14.8,17.4,20.6
2020-07-11 12:20:00,16.3,17.3,19.7
2020-07-11 12:30:00,17.6,16.4,20.2
2020-07-11 12:40:00,17.3,15.7,20.7
2020-07-11 12:50:00,14.9,16.0,20.1
2020-07-11 13:00:00,15.1,16.2,20.0
2020-07-11 13:10:00,14.6,16.4,20.2
2020-07-11 13:20:00,14.8,16.5,19.8
2020-07-11 13:30:00,16.0,16.6,19.7
2020-07-11 13:40:00,16.7,17.0,19.6
2020-07-11 13:50:00,17.2,17.2,20.0
2020-07-11 14:00:00,16.5,17.4,20.2
2020-07-11 14:10:00,16.6,17.1,20.6
2020-07-11 14:20:00,16.5,18.8,20.7
2020-07-11 14:30:00,16.5,18.2,20.6
2020-07-11 14:40:00,17.9,17.8,21.0
2020-07-11 14:50:00,16.4,17.6,20.9
2020-07-11 15:00:00,16.6,17.4,20.5
2020-07-11 15:10:00,16.2,17.5,21.7
2020-07-11 15:20:00,16.0,17.7,21.2
2020-07-11 15:30:00,15.4,17.8,20.5
2020-07-11 15:40:00,15.9,17.8,20.6
2020-07-11 15:50:00,17.9,17.8,21.5
2020-07-11 16:00:00,18.3,17.5,20.7
2020-07-11 16:10:00,16.8,18.1,20.5
2020-07-11 16:20:00,16.9,18.7,20.2
2020-07-11 16:30:00,17.1,17.2,20.5
2020-07-11 16:40:00,17.1,16.8,20.3
2020-07-11 16:50:00,17.2,16.6,20.0
2020-07-11 17:00:00,17.3,16.7,20.0
2020-07-11 17:10:00,17.0,16.7,20.0
2020-07-11 17:20:00,16.7,16.6,19.9
2020-07-11 17:30:00,17.4,16.8,19.6
2020-07-11 17:40:00,16.5,16.8,19.3
2020-07-11 17:50:00,16.4,16.6,19.2
2020-07-11 18:00:00,16.7,16.8,19.0
2020-07-11 18:10:00,16.3,16.7,19.1
2020-07-11 18:20:00,15.9,16.4,19.1
2020-07-11 18:30:00,15.3,15.8,18.7
2020-07-11 18:40:00,15.0,15.4,18.4
2020-07-11 18:50:00,15.3,15.1,17.6
2020-07-11 19:00:00,15.0,15.0,16.9
2020-07-11 19:10:00,14.7,14.9,16.3
2020-07-11 19:20:00,14.0,15.0,15.7
2020-07-11 19:30:00,13.5,15.1,15.1
2020-07-11 19:40:00,13.6,15.2,14.6
2020-07-11 19:50:00,13.4,15.1,14.1
2020-07-11 20:00:00,12.5,15.1,13.8
2020-07-11 20:10:00,11.9,15.0,12.9
2020-07-11 20:20:00,11.8,14.9,12.5
2020-07-11 20:30:00,11.9,14.8,12.2
2020-07-11 20:40:00,11.8,14.6,11.8
2020-07-11 20:50:00,11.3,14.3,11.4
2020-07-11 21:00:00,11.1,14.0,11.0
2020-07-11 21:10:00,10.6,13.8,10.9
2020-07-11 21:20:00,10.3,13.4,10.7
2020-07-11 21:30:00,10.0,13.2,10.5
2020-07-11 21:40:00,10.2,13.0,10.1
2020-07-11 21:50:00,10.3,12.7,9.8
2020-07-11 22:00:00,10.0,12.5,9.6
2020-07-11 22:10:00,10.0,12.3,9.5
2020-07-11 22:20:00,9.6,12.3,9.2
2020-07-11 22:30:00,9.6,12.1,9.2
2020-07-11 22:40:00,9.3,11.9,8.9
2020-07-11 22:50:00,9.2,11.8,8.9
2020-07-11 23:00:00,8.7,11.6,8.8
2020-07-11 23:10:00,8.8,11.6,8.4
2020-07-11 23:20:00,8.6,11.6,8.2
2020-07-11 23:30:00,8.5,11.5,8.2
2020-07-11 23:40:00,8.7,11.3,8.0
2020-07-11 23:50:00,8.5,11.3,7.9
2020-07-12 00:00:00,8.1,11.2,7.8
2020-07-12 00:10:00,8.1,11.1,7.8
2020-07-12 00:20:00,8.1,10.9,7.7
2020-07-12 00:30:00,8.0,10.8,7.6
2020-07-12 00:40:00,8.2,10.7,7.4
2020-07-12 00:50:00,8.4,11.0,7.6
2020-07-12 01:00:00,8.7,10.8,7.3
2020-07-12 01:10:00,8.4,10.7,7.6
2020-07-12 01:20:00,8.3,10.6,7.6
2020-07-12 01:30:00,8.5,10.7,7.8
2020-07-12 01:40:00,8.1,10.8,7.3
2020-07-12 01:50:00,8.1,10.8,7.1
2020-07-12 02:00:00,7.6,10.7,6.9
2020-07-12 02:10:00,7.9,10.7,6.8
2020-07-12 02:20:00,7.6,10.8,6.7
2020-07-12 02:30:00,8.4,10.6,6.6
2020-07-12 02:40:00,8.1,10.6,6.6
2020-07-12 02:50:00,8.1,10.6,6.6
2020-07-12 03:00:00,8.0,10.8,6.6
2020-07-12 03:10:00,8.4,11.1,6.6
2020-07-12 03:20:00,8.3,11.2,6.5
2020-07-12 03:30:00,8.2,11.3,6.6
2020-07-12 03:40:00,8.3,11.4,6.9
2020-07-12 03:50:00,8.2,11.5,7.3
2020-07-12 04:00:00,7.8,11.5,7.6
2020-07-12 04:10:00,8.2,11.7,7.9
2020-07-12 04:20:00,8.8,11.9,8.3
2020-07-12 04:30:00,9.2,11.8,8.5
2020-07-12 04:40:00,9.6,12.3,8.8
2020-07-12 04:50:00,10.2,12.4,9.2
2020-07-12 05:00:00,10.5,12.4,9.6
2020-07-12 05:10:00,11.1,12.7,10.1
2020-07-12 05:20:00,11.6,13.0,10.6
2020-07-12 05:30:00,11.9,13.0,11.3
2020-07-12 05:40:00,12.6,13.1,11.8
2020-07-12 05:50:00,13.4,13.1,12.3
2020-07-12 06:00:00,13.8,13.5,12.8
2020-07-12 06:10:00,14.0,13.8,13.3
2020-07-12 06:20:00,14.2,15.0,13.9
2020-07-12 06:30:00,14.5,15.5,14.3
2020-07-12 06:40:00,14.3,16.0,14.7
2020-07-12 06:50:00,15.1,15.6,15.1
2020-07-12 07:00:00,15.1,15.9,15.4
2020-07-12 07:10:00,15.4,16.3,16.4
2020-07-12 07:20:00,14.8,16.0,16.6
2020-07-12 07:30:00,15.9,16.6,16.9
2020-07-12 07:40:00,15.7,16.8,17.3
2020-07-12 07:50:00,14.9,17.2,17.8
2020-07-12 08:00:00,16.5,17.1,18.9
2020-07-12 08:10:00,15.5,17.7,19.4
2020-07-12 08:20:00,17.1,18.2,19.7
2020-07-12 08:30:00,16.6,18.5,20.5
2020-07-12 08:40:00,15.9,18.6,20.0
2020-07-12 08:50:00,17.2,19.2,21.4
2020-07-12 09:00:00,16.2,18.9,21.4
2020-07-12 09:10:00,16.5,19.4,21.0
2020-07-12 09:20:00,17.7,19.4,20.9
2020-07-12 09:30:00,17.3,19.9,21.7
2020-07-12 09:40:00,18.2,20.2,22.1
2020-07-12 09:50:00,17.1,20.3,22.0
2020-07-12 10:00:00,18.4,20.6,22.0
2020-07-12 10:10:00,18.6,20.5,22.0
2020-07-12 10:20:00,18.5,20.4,23.0
2020-07-12 10:30:00,18.4,20.4,21.9
2020-07-12 10:40:00,18.1,20.6,22.2
2020-07-12 10:50:00,18.4,21.2,22.9
2020-07-12 11:00:00,18.1,21.8,22.8
2020-07-12 11:10:00,19.4,21.5,22.3
2020-07-12 11:20:00,18.7,21.1,24.2
2020-07-12 11:30:00,19.0,21.9,21.3
2020-07-12 11:40:00,19.2,21.5,23.0
2020-07-12 11:50:00,19.1,20.5,23.8
2020-07-12 12:00:00,17.7,21.9,23.7
2020-07-12 12:10:00,19.5,21.5,24.0
2020-07-12 12:20:00,18.5,21.5,24.5
2020-07-12 12:30:00,18.1,20.8,24.2
2020-07-12 12:40:00,19.4,20.7,23.5
2020-07-12 12:50:00,19.2,21.7,24.0
2020-07-12 13:00:00,19.8,21.2,24.1
2020-07-12 13:10:00,20.6,20.4,22.7
2020-07-12 13:20:00,18.8,19.9,23.5
2020-07-12 13:30:00,18.5,19.8,24.9
2020-07-12 13:40:00,20.3,19.8,24.7
2020-07-12 13:50:00,19.1,20.1,24.8
2020-07-12 14:00:00,20.6,21.9,24.3
2020-07-12 14:10:00,19.8,21.7,24.6
2020-07-12 14:20:00,18.5,21.4,25.2
2020-07-12 14:30:00,20.8,22.1,25.1
2020-07-12 14:40:00,20.7,20.6,24.1
2020-07-12 14:50:00,20.1,19.8,22.7
2020-07-12 15:00:00,18.8,19.9,23.2
2020-07-12 15:10:00,20.0,20.4,23.7
2020-07-12 15:20:00,21.4,21.9,25.5
2020-07-12 15:30:00,20.9,21.3,25.2
2020-07-12 15:40:00,20.1,20.9,25.0
2020-07-12 15:50:00,21.0,20.3,24.4
2020-07-12 16:00:00,20.8,19.6,24.7
2020-07-12 16:10:00,21.4,19.4,24.3
2020-07-12 16:20:00,19.3,19.9,23.6
2020-07-12 16:30:00,20.7,21.5,23.6
2020-07-12 16:40:00,20.2,21.9,23.5
2020-07-12 16:50:00,19.0,21.7,23.8
2020-07-12 17:00:00,18.4,21.5,23.3
2020-07-12 17:10:00,18.8,21.1,22.7
2020-07-12 17:20:00,19.4,20.2,21.9
2020-07-12 17:30:00,19.1,20.3,21.7
2020-07-12 17:40:00,19.3,20.0,21.4
2020-07-12 17:50:00,18.8,19.5,21.6
2020-07-12 18:00:00,17.7,19.0,21.4
2020-07-12 18:10:00,17.2,18.3,21.2
2020-07-12 18:20:00,16.9,17.9,21.1
2020-07-12 18:30:00,16.5,17.1,20.4
2020-07-12 18:40:00,16.4,16.1,19.5
2020-07-12 18:50:00,16.2,15.4,19.2
2020-07-12 19:00:00,15.7,14.9,19.3
2020-07-12 19:10:00,15.2,14.3,18.7
2020-07-12 19:20:00,14.8,14.1,17.9
2020-07-12 19:30:00,14.2,13.6,17.1
2020-07-12 19:40:00,13.9,13.4,16.3
2020-07-12 19:50:00,13.7,13.2,15.7
2020-07-12 20:00:00,13.7,12.9,15.3
2020-07-12 20:10:00,13.3,12.8,15.5
2020-07-12 20:20:00,12.9,12.8,16.2
2020-07-12 20:30:00,12.7,12.9,15.5
2020-07-12 20:40:00,12.6,12.5,15.7
2020-07-12 20:50:00,12.5,12.4,15.1
2020-07-12 21:00:00,12.4,12.2,14.8
2020-07-12 21:10:00,12.3,12.0,15.3
2020-07-12 21:20:00,11.9,11.9,14.1
2020-07-12 21:30:00,11.6,11.7,13.5
2020-07-12 21:40:00,11.2,11.6,13.1
